beta,trace_estimate,zeta_beta,abs_diff
1.5,2.6123753486854917,2.612375348685488,3.4934713116246075e-15
2.0,1.6449340668482264,1.6449340668482264,1.0416634796157252e-17
2.5,1.341487257250917,1.341487257250917,2.911575669439586e-20
3.0,1.2020569031595942,1.2020569031595942,7.812474863512835e-23
4.0,1.0823232337111381,1.0823232337111381,5.51216557523182e-28
