idx,eigenvalue
0,9.6497009146395169022e-8
1,1.5134822655758256188e-7
2,0.000038668319688177779962
3,0.0011351391861813867683
4,0.016457081477004154415
5,0.032322981000382005427
6,0.30722630448092057022
7,0.39221326665822562792
