eps,lambda_min,lambda_2,Re_dark,Im_dark
-0.5,-0.542642435541,-0.163197073448,nan,nan
-0.2,-0.206652897112,-0.0602017962028,0.541208195469369,14.1345956731355
-0.1,-0.0987022802364,-0.0281038763669,0.518663064056258,14.1346683642973
-0.05,-0.0467101779278,-0.013139927266,0.508912273657001,14.1346985150116
-0.01,-0.00773703857576,-0.00238210084106,0.501720648475728,14.1347200780922
0,9.64970091464e-8,1.51348226558e-7,0.5,14.1347251417347
0.01,-0.0336878279566,0.00140481390547,0.498308663543695,14.134730080901
0.05,-0.222611666193,0.00432028749211,0.491821855473768,14.1347486531484
0.1,-0.491465548618,0.00615574668596,0.484290189003405,14.1347694158848
0.2,-1.05743066545,0.0066520650189,0.470880642985067,14.1348039582051
0.5,-2.79491136315,0.00424741349454,nan,nan
