eps,Re_s,Im_s,Re_s_minus_half
-0.2,0.541208195469369,14.1345956731355,0.0412082
-0.1,0.518663064056258,14.1346683642973,0.0186631
-0.05,0.508912273657001,14.1346985150116,0.00891227
-0.01,0.501720648475728,14.1347200780922,0.00172065
-0.005,0.500856612472277,14.1347226256674,0.000856612
-0.001,0.500170733241217,14.1347246410231,0.000170733
0.0,0.5,14.1347251417347,0.0
0.001,0.499829559857098,14.1347256412016,-0.00017044
0.005,0.499150715118174,14.134727626684,-0.000849285
0.01,0.498308663543695,14.134730080901,-0.00169134
0.05,0.491821855473768,14.1347486531484,-0.00817814
0.1,0.484290189003405,14.1347694158848,-0.0157098
0.2,0.470880642985067,14.1348039582051,-0.0291194
