item,result
M,255255
fix_formula,"Fix(T^n) = gcd(2^n - 1, M), verified directly"
orders,"{3: 2, 5: 4, 7: 3, 11: 10, 13: 12, 17: 8}"
crt_factorization,True
fourier_trace_equals_fix,True
cycle_counts,"{1: 1, 2: 1, 3: 2, 4: 3, 6: 2, 8: 30, 10: 3, 12: 111, 20: 6, 24: 900, 30: 6, 40: 60, 60: 222, 120: 1800}"
lefschetz,True
moebius_local_separation,lam(n) = sum_{ord_q(2)=n} log q exactly
