n,B_n
1,0.000000000000
2,0.693147180560
3,1.098612288668
4,0.693147180560
5,1.609437912434
6,0.000000000000
7,1.945910149055
8,0.693147180560
9,1.098612288668
10,0.000000000000
11,2.397895272798
12,0.000000000000
13,2.564949357462
14,0.000000000000
15,0.000000000000
16,0.693147180560
17,2.833213344056
18,0.000000000000
19,2.944438979166
20,-0.000000000000
21,0.000000000000
22,0.000000000000
23,3.135494215929
24,0.000000000000
25,1.609437912434
26,0.000000000000
27,1.098612288668
28,0.000000000000
29,3.367295829986
30,0.000000000000
31,3.433987204485
32,0.693147180560
33,-0.000000000000
34,0.000000000000
35,0.000000000000
36,0.000000000000
37,3.610917912644
38,0.000000000000
39,0.000000000000
40,0.000000000000
41,3.713572066704
42,0.000000000000
43,3.761200115694
44,-0.000000000000
45,0.000000000000
46,0.000000000000
47,3.850147601710
48,0.000000000000
49,1.945910149055
50,-0.000000000000
51,-0.000000000000
52,0.000000000000
53,3.970291913552
54,0.000000000000
55,0.000000000000
56,0.000000000000
57,0.000000000000
58,0.000000000000
59,4.077537443906
60,-0.000000000000
61,4.110873864173
62,0.000000000000
63,0.000000000000
64,0.693147180560
65,0.000000000000
66,0.000000000000
67,4.204692619391
68,0.000000000000
69,0.000000000000
70,0.000000000000
71,4.262679877041
72,-0.000000000000
73,4.290459441148
74,0.000000000000
75,0.000000000000
76,0.000000000000
77,0.000000000000
78,0.000000000000
79,4.369447852467
80,0.000000000000
81,1.098612288668
82,0.000000000000
83,4.418840607797
84,0.000000000000
85,0.000000000000
86,0.000000000000
87,0.000000000000
88,0.000000000000
89,4.488636369732
90,0.000000000000
91,0.000000000000
92,0.000000000000
93,0.000000000000
94,0.000000000000
95,0.000000000000
96,0.000000000000
97,4.574710978503
98,0.000000000000
99,-0.000000000000
100,0.000000000000
101,4.615120516841
102,-0.000000000000
103,4.634728988230
104,0.000000000000
105,0.000000000000
106,0.000000000000
107,4.672828834462
108,0.000000000000
109,4.691347882229
110,0.000000000000
111,0.000000000000
112,-0.000000000000
113,4.727387818712
114,0.000000000000
115,0.000000000000
116,0.000000000000
117,0.000000000000
118,0.000000000000
119,0.000000000000
120,0.000000000000
121,2.397895272798
122,0.000000000000
123,-0.000000000000
124,0.000000000000
125,1.609437912434
126,-0.000000000000
127,4.844187086459
128,0.693147180560
129,0.000000000000
130,-0.000000000000
131,4.875197323201
132,0.000000000000
133,0.000000000000
134,0.000000000000
135,0.000000000000
136,0.000000000000
137,4.919980925828
138,0.000000000000
139,4.934473933131
140,-0.000000000000
141,0.000000000000
142,0.000000000000
143,0.000000000000
144,0.000000000000
145,0.000000000000
146,0.000000000000
147,0.000000000000
