n,lambda_n,local_primes_ord_n,abs_err_vs_log_prod
2,1.0986122886681098,3,0.0
3,1.9459101490553132,7,0.0
4,1.6094379124341003,5,0.0
8,2.8332133440562157,17,4.440892098500626e-16
10,2.3978952727983707,11,0.0
12,2.564949357461537,13,4.440892098500626e-16
