architecture,horizon,run,success,errors_introduced,errors_detected,errors_recovered,escaped_errors,agent_calls
reflection,10,102,1,0,2,2,0,12
static_team,10,102,1,0,0,0,0,20
corpus_mesh,10,102,1,1,1,1,0,32
single,10,103,1,0,0,0,0,10
reflection,10,103,1,0,2,2,0,12
static_team,10,103,1,0,0,0,0,20
corpus_mesh,10,103,1,0,0,0,0,32
single,10,104,1,0,0,0,0,10
reflection,10,104,1,0,1,1,0,11
static_team,10,104,1,0,0,0,0,21
corpus_mesh,10,104,1,0,0,0,0,30
single,10,105,1,0,0,0,0,10
reflection,10,105,1,0,3,3,0,13
static_team,10,105,1,0,0,0,0,20
corpus_mesh,10,105,1,0,0,0,0,30
single,10,106,1,0,0,0,0,10
reflection,10,106,1,0,3,3,0,13
static_team,10,106,1,0,0,0,0,20
corpus_mesh,10,106,1,1,1,1,0,32
single,10,107,1,0,0,0,0,10
reflection,10,107,1,0,7,7,0,17
static_team,10,107,1,0,0,0,0,20
corpus_mesh,10,107,1,0,0,0,0,30
single,10,108,1,0,0,0,0,10
reflection,10,108,1,0,2,2,0,12
static_team,10,108,1,0,0,0,0,20
corpus_mesh,10,108,1,0,0,0,0,30
single,10,109,1,0,0,0,0,10
reflection,10,109,1,0,3,3,0,13
static_team,10,109,1,0,0,0,0,20
corpus_mesh,10,109,1,0,0,0,0,32
single,10,110,1,0,0,0,0,10
reflection,10,110,1,0,3,3,0,13
static_team,10,110,1,0,0,0,0,20
corpus_mesh,10,110,1,1,1,1,0,32
single,10,111,1,0,0,0,0,10
reflection,10,111,1,0,2,2,0,12
static_team,10,111,1,0,0,0,0,21
corpus_mesh,10,111,1,1,1,1,0,34
single,10,112,1,0,0,0,0,10
reflection,10,112,1,0,5,5,0,15
static_team,10,112,1,1,1,1,0,21
corpus_mesh,10,112,1,0,0,0,0,30
single,10,113,1,0,0,0,0,10
reflection,10,113,1,0,3,3,0,13
static_team,10,113,1,0,0,0,0,20
corpus_mesh,10,113,1,0,0,0,0,30
single,10,114,1,0,0,0,0,10
reflection,10,114,1,0,3,3,0,13
static_team,10,114,1,1,1,1,0,21
corpus_mesh,10,114,1,0,0,0,0,30
single,10,115,1,0,0,0,0,10
reflection,10,115,1,0,2,2,0,12
static_team,10,115,1,1,1,1,0,21
corpus_mesh,10,115,1,0,0,0,0,32
single,10,116,1,0,0,0,0,10
reflection,10,116,1,0,2,2,0,12
static_team,10,116,1,0,0,0,0,20
corpus_mesh,10,116,1,0,0,0,0,32
single,10,117,1,0,0,0,0,10
reflection,10,117,1,0,5,5,0,15
static_team,10,117,1,0,0,0,0,20
corpus_mesh,10,117,1,1,1,1,0,32
single,10,118,1,0,0,0,0,10
reflection,10,118,1,0,2,2,0,12
static_team,10,118,1,0,0,0,0,20
corpus_mesh,10,118,1,0,0,0,0,30
single,10,119,0,1,0,0,1,10
reflection,10,119,1,0,1,1,0,11
static_team,10,119,1,0,0,0,0,20
corpus_mesh,10,119,1,0,0,0,0,30
single,10,120,1,0,0,0,0,10
reflection,10,120,1,0,5,5,0,15
static_team,10,120,1,0,0,0,0,21
corpus_mesh,10,120,1,0,0,0,0,30
single,10,121,1,0,0,0,0,10
reflection,10,121,1,0,3,3,0,13
static_team,10,121,1,0,0,0,0,20
corpus_mesh,10,121,1,0,0,0,0,30
single,10,122,1,0,0,0,0,10
reflection,10,122,1,0,5,5,0,15
static_team,10,122,1,1,1,1,0,21
corpus_mesh,10,122,1,1,1,1,0,32
single,10,123,1,0,0,0,0,10
reflection,10,123,1,0,2,2,0,12
static_team,10,123,1,0,0,0,0,20
corpus_mesh,10,123,1,0,0,0,0,32
single,10,124,1,0,0,0,0,10
reflection,10,124,0,0,3,2,1,13
static_team,10,124,1,0,0,0,0,20
corpus_mesh,10,124,1,0,0,0,0,30
