epsilon,weil_lambda_min,root_Re_s,root_Im_s,distance_from_critical_line_Re_minus_half,abs_off_critical_line,weil_positive
-0.1,-0.13206767973459985,0.5186630640561819,14.134668364297438,0.0186630640561819,0.0186630640561819,False
-0.05,-0.06555295890559232,0.5089122736569214,14.134698515011696,0.0089122736569213,0.0089122736569213,False
-0.02,-0.02586077873480698,0.5034713833491644,14.134714886836932,0.0034713833491644,0.0034713833491644,False
-0.01,-0.01273822356847839,0.5017206484756488,14.13472007809228,0.0017206484756487,0.0017206484756487,False
-0.005,-0.006259634711980281,,,,,False
0.0,4.4376075137850086e-23,0.4999999999999221,14.134725141734783,-7.788214517745473e-14,7.788214517745473e-14,True
0.005,-0.010238879817413195,,,,,False
0.01,-0.020675951066615315,0.4983086635436166,14.13473008090107,-0.0016913364563833,0.0016913364563833,False
0.02,-0.041887144627715193,0.4966458912580059,14.13473489865951,-0.003354108741994,0.003354108741994,False
0.05,-0.10724813444010686,0.4918218554736896,14.13474865314848,-0.0081781445263103,0.0081781445263103,False
0.1,-0.21896647757263513,0.4842901890033272,14.134769415884808,-0.0157098109966727,0.0157098109966727,False
