epsilon,root_Re_s,root_Im_s,distance_from_critical_line_Re_minus_half,residual_abs_F,solver_success,n1_relative_weight
-0.1,0.5186630640561819,14.134668364297438,0.0186630640561819,2.4539716145977e-15,True,0.9
-0.05,0.5089122736569214,14.134698515011697,0.008912273656921377,3.3450869228396885e-15,True,0.95
-0.02,0.5034713833491644,14.134714886836932,0.003471383349164414,6.487347788534554e-14,True,0.98
-0.01,0.5017206484756488,14.134720078092279,0.0017206484756487894,5.392667800889823e-15,True,0.99
0.0,0.4999999999999221,14.134725141734785,-7.788214517745473e-14,7.656006507904482e-16,True,1.0
0.01,0.49830866354361664,14.13473008090107,-0.0016913364563833633,5.359658473827991e-15,True,1.01
0.02,0.49664589125800596,14.13473489865951,-0.003354108741994044,5.777216662058835e-14,True,1.02
0.05,0.4918218554736896,14.13474865314848,-0.008178144526310382,4.738793131027533e-15,True,1.05
0.1,0.4842901890033272,14.134769415884808,-0.01570981099667279,7.015090671595568e-14,True,1.1
