architecture,horizon,runs,success_rate,success_ci_low,success_ci_high,step_escape_rate,step_escape_ci_low,step_escape_ci_high,avg_errors_introduced,avg_errors_detected,avg_errors_recovered,avg_escaped_errors,avg_model_calls,avg_input_tokens,avg_output_tokens,avg_cost_usd,avg_wall_seconds,avg_recovery_latency_s,cost_per_success_usd
verified_team,10,8,1.0,0.6756,1.0,0.0,0.0,0.04582,1.25,1.25,1.25,0,22.88,4311.9,26454.9,0.01763,1091.3,118.51,0.01763
verified_team,20,8,1.0,0.6756,1.0,0.0,0.0,0.02345,3.625,3.625,3.625,0,48.25,9110.2,57691.5,0.03707,2328.8,109.91,0.03707
verified_team,50,8,1.0,0.6756,1.0,0.0,0.0,0.00951,10.375,10.375,10.375,0,124.25,23450.1,149244.4,0.09535,3969.5,89.98,0.09535
