architecture,horizon,runs,success_rate,success_ci_low,success_ci_high,step_escape_rate,step_escape_ci_low,step_escape_ci_high,avg_errors_introduced,avg_errors_detected,avg_errors_recovered,avg_escaped_errors,avg_model_calls,avg_input_tokens,avg_output_tokens,avg_cost_usd,avg_wall_seconds,avg_recovery_latency_s,cost_per_success_usd
verified_team,10,8,0.75,0.4093,0.9285,0.025,0.00688,0.08665,1.75,1.5,1.5,0.25,24,5613.5,6860.2,0.03991,141.4,8.18,0.05322
verified_team,20,8,0.375,0.1368,0.6943,0.04375,0.02135,0.08754,3.375,3.125,2.625,0.875,50.38,11792.5,14580.9,0.0847,309.6,9.26,0.22586
verified_team,50,8,0.0,0.0,0.3244,0.0625,0.04269,0.09063,11,10,8.25,3.125,132.38,31066.6,38427.9,0.22321,680.9,7.98,
